,GAME_ID,MATCHUP
753,0022000402,MIL @ UTA
754,0022000395,MIN @ CHA
755,0022000402,UTA vs. MIL
756,0022000405,ORL @ SAC
757,0022000412,BOS vs. DET
758,0022000396,WAS vs. NYK
759,0022000396,NYK @ WAS
760,0022000412,DET @ BOS
761,0022000403,MEM @ LAL
762,0022000403,LAL vs. MEM
763,0022000400,CHI vs. LAC
764,0022000400,LAC @ CHI
765,0022000397,SAS @ ATL
766,0022000397,ATL vs. SAS
767,0022000401,DEN vs. OKC
768,0022000408,NYK vs. HOU
769,0022000409,GSW vs. BKN
770,0022000409,BKN @ GSW
771,0022000407,ATL vs. IND
772,0022000407,IND @ ATL
773,0022000408,HOU @ NYK
774,0022000406,PHI @ PHX
775,0022000406,PHX vs. PHI
776,0022000410,UTA vs. MIA
777,0022000410,MIA @ UTA
778,0022000419,LAC vs. CLE
779,0022000560,BOS @ WAS
780,0022000413,MIN @ TOR
781,0022000413,TOR vs. MIN
782,0022000411,DAL vs. POR
783,0022000560,WAS vs. BOS
784,0022000414,CHA vs. SAS
785,0022000561,DET vs. NOP
786,0022000416,LAL @ DEN
787,0022000561,NOP @ DET
788,0022000411,POR @ DAL
789,0022000415,MIL @ OKC
790,0022000416,DEN vs. LAL
791,0022000418,SAC vs. MEM
792,0022000418,MEM @ SAC
793,0022000417,ORL @ PHX
794,0022000417,PHX vs. ORL
795,0022000414,SAS @ CHA
796,0022000419,CLE @ LAC
797,0022000415,OKC vs. MIL
798,0022000420,CHI @ IND
799,0022000425,LAC vs. MIA
800,0022000425,MIA @ LAC
801,0022000420,IND vs. CHI
802,0022000422,NYK vs. ATL
803,0022000424,GSW vs. CLE
804,0022000424,CLE @ GSW
805,0022000422,ATL @ NYK
806,0022000426,SAC vs. BKN
807,0022000426,BKN @ SAC
808,0022000421,HOU @ WAS
809,0022000423,PHI @ UTA
810,0022000423,UTA vs. PHI
811,0022000421,WAS vs. HOU
812,0022000433,BKN @ PHX
813,0022000429,MEM vs. NOP
814,0022000427,BOS vs. DEN
815,0022000433,PHX vs. BKN
816,0022000429,NOP @ MEM
817,0022000430,TOR @ MIL
818,0022000427,DEN @ BOS
819,0022000432,POR @ OKC
820,0022000432,OKC vs. POR
821,0022000431,MIN vs. LAL
822,0022000430,MIL vs. TOR
823,0022000431,LAL @ MIN
824,0022000438,ATL @ BOS
825,0022000438,BOS vs. ATL
826,0022000439,HOU @ PHI
827,0022000562,MEM vs. OKC
828,0022000562,OKC @ MEM
829,0022000564,CHI vs. DET
830,0022000439,PHI vs. HOU
831,0022000436,NYK @ ORL
832,0022000564,DET @ CHI
833,0022000437,DEN @ WAS
834,0022000436,ORL vs. NYK
835,0022000440,IND @ MIN
836,0022000440,MIN vs. IND
837,0022000437,WAS vs. DEN
838,0022000441,NOP vs. POR
839,0022000443,GSW vs. MIA
840,0022000443,MIA @ GSW
841,0022000441,POR @ NOP
842,0022000444,LAC vs. UTA
843,0022000444,UTA @ LAC
844,0022000447,MIA @ SAC
845,0022000447,SAC vs. MIA
846,0022000446,LAL vs. BKN
847,0022000446,BKN @ LAL
848,0022000445,MIL vs. TOR
849,0022000445,TOR @ MIL
850,0022000452,MEM vs. DET
851,0022000449,ORL vs. GSW
